Name,ID
James Cameron,0000116
William Wisher,0936537
Arnold Schwarzenegger,0000216
Linda Hamilton,0000157
Edward Furlong,0000411
Bob Gale,0301826
Michael J. Fox,0000150
Christopher Lloyd,0000502
Lea Thompson,0000670
Hayao Miyazaki,0594503
Daveigh Chase,0153738
Suzanne Pleshette,0687189
Miyu Irino,0997115
Roman Polanski,0000591
Ronald Harwood,0367838
Wladyslaw Szpilman,0844262
Adrien Brody,0004778
Thomas Kretschmann,0470981
Frank Finlay,0277975
Alfred Hitchcock,0000033
Joseph Stefano,0825010
Robert Bloch,0088645
Anthony Perkins,0000578
Janet Leigh,0001463
Vera Miles,0587256
Bong Joon Ho,0094435
Han Jin-won,8243301
Ridley Scott,0000631
David Franzoni,0291905
John Logan,0517589
William Nicholson,0629933
Roger Allers,0021249
Rob Minkoff,0591450
Irene Mecchi,0575293
Jonathan Roberts,0731271
Linda Woolverton,0941314
Luc Besson,0000108
Jean Reno,0000606
Gary Oldman,0000198
Natalie Portman,0000204
Kai Bird,3284831
Martin Sherwin,2452558
Cillian Murphy,0614165
Emily Blunt,1289434
Tony Kaye,0443411
David McKenna,0571346
Beverly D'Angelo,0000350
William Monahan,1184258
Alan Mak,0538320
Felix Chong,0159039
Jack Nicholson,0000197
Damien Chazelle,3227090
Miles Teller,1886602
J.K. Simmons,0799777
Melissa Benoist,2552034
Christopher Priest,1793993
Christian Bale,0000288
Hugh Jackman,0413168
Scarlett Johansson,0424060
Bryan Singer,0001741
Christopher McQuarrie,0003160
Gabriel Byrne,0000321
Chazz Palminteri,0001590
Isao Takahata,0847223
Akiyuki Nosaka,0636435
Tsutomu Tatsumi,0851302
Ayano Shiraishi,0794186
Akemi Yamaguchi,0945312
Michael Curtiz,0002031
Julius J. Epstein,0258493
Philip G. Epstein,0258525
Howard Koch,0462321
Masaki Kobayashi,0462030
Yasuhiko Takiguchi,0847668
Tatsuya Nakadai,0619938
Akira Ishihama,0410968
Shima Iwashita,0412615
Olivier Nakache,0619923
Éric Toledano,0865918
Philippe Pozzo di Borgo,4778840
François Cluzet,0167388
Omar Sy,1082477
Anne Le Ny,0494504
Charles Chaplin,0000122
Paulette Goddard,0002104
Henry Bergman,0074788
Giuseppe Tornatore,0868153
Vanna Paoli,0660031
Sergio Donati,0006872
Dario Argento,0000783
John Michael Hayes,0371088
Cornell Woolrich,0941280
James Stewart,0000071
Grace Kelly,0000038
Wendell Corey,0179819
Dan O'Bannon,0639321
Ronald Shusett,0795953
Harry Carr,0139714
Harry Crocker,0188357
Virginia Cherrill,0156039
Florence Lee,5681967
John Milius,0587518
Michael Herr,0380282
Guy Pearce,0001602
Joe Pantoliano,0001592
Jamie Foxx,0004937
Christoph Waltz,0910607
Philip Kaufman,0442241
Karen Allen,0000261
Paul Freeman,0293550
Andrew Stanton,0004056
Pete Docter,0230032
Jim Reardon,0714114
Florian Henckel von Donnersmarck,0003697
Ulrich Mühe,0618057
Martina Gedeck,0311476
Sebastian Koch,0462407
Billy Wilder,0000697
Charles Brackett,0102818
D.M. Marshman Jr.,0551261
William Holden,0000034
Gloria Swanson,0841797
Erich von Stroheim,0002233
Stanley Kubrick,0000040
Calder Willingham,0932229
Jim Thompson,0860292
Anthony Russo,0751577
Joe Russo,0751648
Christopher Markus,1321655
Stephen McFeely,1321656
Stan Lee,0498278
Diane Johnson,0424956
Shelley Duvall,0001167
Danny Lloyd,0515950
Jack Oakie,0642988
Agatha Christie,0002005
Harry Kurnitz,0475823
Bob Persichetti,2130108
Peter Ramsey,0709056
Rodney Rothman,0745247
David Giler,0318429
Walter Hill,0001353
Sam Mendes,0005222
Alan Ball,0050332
Annette Bening,0000906
Thora Birch,0000301
Diane Kruger,1208167
Eli Roth,0744834
Terry Southern,0816143
Peter George,0313570
Park Chan-wook,0661791
Garon Tsuchiya,1628380
Nobuaki Minegishi,2057405
Lee Unkrich,0881279
Adrian Molina,2937122
Jason Katz,0441735
Matthew Aldrich,0017690
Peter Shaffer,0787323
Zdenek Mahler,0537004
John Lasseter,0005124
Wolfgang Petersen,0000583
Lothar G. Buchheim,0118164
Jürgen Prochnow,0001638
Herbert Grönemeyer,0344963
Klaus Wennemann,0921044
Mel Gibson,0000154
Randall Wallace,0908824
Sophie Marceau,0000521
Patrick McGoohan,0001526
Todd Phillips,0680846
Scott Silver,0798788
Bob Kane,0004170
Neil Gaiman,0301274
Gus Van Sant,0001814
Ben Affleck,0000255
Robin Williams,0000245
Harry Grey,0340580
Leonardo Benvenuti,0073053
Piero De Bernardi,0207401
Makoto Shinkai,1396121
Clark Cheng,1038805
Rajkumar Hirani,0386246
Abhijat Joshi,0430785
Vidhu Vinod Chopra,0006765
Ryûzô Kikushima,0452878
Eijirô Hisaita,0386750
Stanley Donen,0002045
Gene Kelly,0000037
Betty Comden,0173679
Adolph Green,0337582
Donald O'Connor,0640307
Debbie Reynolds,0001666
Darren Aronofsky,0004716
Hubert Selby Jr.,0782968
Nadine Labaki,1701024
Jihad Hojeily,2764802
Michelle Keserwany,9878616
Elem Klimov,0459552
Ales Adamovich,0010696
Richard Marquand,0549658
Michel Gondry,0327273
Charlie Kaufman,0442109
Pierre Bismuth,1410028
Arthur C. Clarke,0002009
Thomas Vinterberg,0899121
Tobias Lindholm,2105585
Mads Mikkelsen,0586568
Thomas Bo Larsen,0488917
Annika Wedderkopp,5038871
Nobuo Kaneko,0437520
Shin'ichi Himori,0385443
David Lean,0000180
Robert Bolt,0004122
Michael Wilson,0933858
Peter O'Toole,0000564
Alec Guinness,0000027
Anthony Quinn,0000063
Orson Welles,0000080
Herman J. Mankiewicz,0542534
John Houseman,0002144
Fritz Lang,0000485
Thea von Harbou,0902376
Egon Jacobsohn,0414825
Peter Lorre,0000048
Ellen Widmann,0927145
Inge Landgut,0484737
Ernest Lehman,0499626
Cary Grant,0000026
Eva Marie Saint,0001693
James Mason,0000051
I.A.L. Diamond,0224634
Jack Lemmon,0000493
Shirley MacLaine,0000511
Fred MacMurray,0534045
Alec Coppel,0178785
Samuel A. Taylor,0853138
Pierre Boileau,0092267
Raymond Chandler,0151452
James M. Cain,0128906
Barbara Stanwyck,0001766
Edward G. Robinson,0000064
Jean-Pierre Jeunet,0000466
Guillaume Laurant,0491011
Brian De Palma,0000361
Oliver Stone,0000231
Howard Hawks,0001328
Ben Hecht,0372942
Gustav Hasford,0368007
Anthony Burgess,0121256
Malcolm McDowell,0000532
Patrick Magee,0535861
Michael Bates,0060988
Denis Villeneuve,0898288
Wajdi Mouawad,1416431
Valérie Beaugrand-Champagne,4034068
Thomas Kail,2371802
Lin-Manuel Miranda,0592135
Ron Chernow,2375857
Phillipa Soo,5623883
Leslie Odom Jr.,1502434
Michael Mann,0000520
Al Pacino,0000199
Robert De Niro,0000134
Val Kilmer,0000174
Bob Peterson,0677037
Tom McCarthy,0565336
Robert Mulligan,0612322
Harper Lee,0497369
Horton Foote,0285210
Gregory Peck,0000060
John Megna,0576345
Frank Overton,0653942
George Roy Hill,0001351
David S. Ward,0911486
Paul Newman,0000056
Robert Redford,0000602
Robert Shaw,0001727
Asghar Farhadi,1410815
Payman Maadi,1818216
Leila Hatami,0368689
Sareh Bayat,4299147
Jeffrey Boam,0090151
Menno Meyjes,0583675
John McTiernan,0001532
Roderick Thorp,0861636
Jeb Stuart,0835732
Steven E. de Souza,0211823
Bruce Willis,0000246
Alan Rickman,0000614
Bonnie Bedelia,0000889
Curtis Hanson,0000436
James Ellroy,0255278
Brian Helgeland,0001338
Russell Crowe,0000128
Vittorio De Sica,0001120
Cesare Zavattini,0953790
Luigi Bartolini,0059030
Oreste Biancoli,0080755
Guy Ritchie,0005363
Jason Statham,0005458
Stephen Graham,0334318
Aamir Khan,0451148
Amole Gupte,1244760
Darsheel Safary,2594301
Tanay Chheda,2540053
Paul Schrader,0001707
Cybill Shepherd,0001732
Krysty Wilson-Cairns,4880670
Dean-Charles Chapman,2835616
George MacKay,1126657
Daniel Mays,0990547
Oliver Hirschbiegel,0386570
Bernd Eichinger,0251536
Joachim Fest,0275264
Traudl Junge,0432622
Nitesh Tiwari,4318159
Piyush Gupta,6328029
Shreyas Jain,6328031
Nikhil Mehrotra,6328030
Joseph Kosinski,2676052
Jim Cash,0143596
Jack Epps Jr.,0258390
Peter Craig,0185976
Fulvio Morsella,0607694
Robert Thoeren,0858329
Edna Purviance,0701012
Jackie Coogan,0001067
Terence Winter,1010540
Jordan Belfort,0067789
Jonah Hill,1706767
Margot Robbie,3053338
Florian Zeller,1725469
Christopher Hampton,0358960
Peter Farrelly,0268380
Nick Vallelonga,0885014
Brian Hayes Currie,0192942
Viggo Mortensen,0001557
Mahershala Ali,0991810
Linda Cardellini,0004802
Joseph L. Mankiewicz,0000581
Mary Orr,0650581
Bette Davis,0000012
Anne Baxter,0000879
George Sanders,0001695
Stanley Kramer,0006452
Abby Mann,0542631
Montgomery Clift,0001050
Peter Weir,0001837
Andrew Niccol,0629272
Jim Carrey,0000120
Ed Harris,0000438
Laura Linney,0001473
Paul Thomas Anderson,0000759
Upton Sinclair,0801737
Daniel Day-Lewis,0000358
Paul Dano,0200452
Ciarán Hinds,0001354
Masato Ide,0406836
Laeta Kalogridis,0436164
Dennis Lehane,1212331
Emily Mortimer,0607865
Mark Ruffalo,0749263
Guillermo del Toro,0868219
Ivana Baquero,1419440
Ariadna Gil,0317725
Sergi López,0530365
M. Night Shyamalan,0796117
Haley Joel Osment,0005286
Toni Collette,0001057
Clint Eastwood,0000142
David Webb Peoples,0672459
Gene Hackman,0000432
Michael Crichton,0000341
David Koepp,0462895
Ron Howard,0000165
Akiva Goldsman,0326040
Sylvia Nasar,0621586
Jennifer Connelly,0000124
John Huston,0001379
B. Traven,0871252
Humphrey Bogart,0000007
Walter Huston,0404158
Tim Holt,0392529
Ethan Coen,0001053
Joel Coen,0001054
Cormac McCarthy,0565092
Tommy Lee Jones,0000169
Javier Bardem,0000849
Josh Brolin,0000982
Terry Gilliam,0000416
Terry Jones,0001402
Graham Chapman,0001037
John Cleese,0000092
Eric Idle,0001385
Uma Thurman,0000235
John Sturges,0836328
Paul Brickhill,0108595
James Clavell,0165412
W.R. Burnett,0122446
Steve McQueen,2588606
James Garner,0001258
Richard Attenborough,0000277
John Carpenter,0000118
Bill Lancaster,0484111
John W. Campbell Jr.,0132168
Kurt Russell,0000621
Wilford Brimley,0000979
Keith David,0202966
Ryûnosuke Akutagawa,0015611
Machiko Kyô,0477553
Masayuki Mori,0605270
David Reynolds,0721675
David Lynch,0000186
Christopher De Vore,0212246
Eric Bergren,0075015
Robert Towne,0001801
Faye Dunaway,0001159
Jon Watts,1218281
Chris McKenna,0571344
Erik Sommers,1273099
Victor Fleming,0281808
George Cukor,0002030
Sam Wood,0939992
Margaret Mitchell,0593565
Sidney Howard,0397608
Oliver H.P. Garrett,0308177
James McTeigue,0574625
David Lloyd,2331222
Hugo Weaving,0915989
Rupert Graves,0001291
Frederick Knott,0461425
Diana Wynne Jones,1168510
Chieko Baishô,0047962
Takuya Kimura,0454120
Tatsuya Gashûin,0309107
Jake LaMotta,0483766
Joseph Carter,0141734
Peter Savage,0678014
Jason Flemyng,0002076
Dexter Fletcher,0002077
Nick Moran,0602941
Juan José Campanella,0002728
Eduardo Sacheri,3160078
Ronnie Del Carmen,0215455
Meg LeFauve,0498834
Aaron Guzikowski,3360706
Jake Gyllenhaal,0350453
Viola Davis,0205626
Martin McDonagh,1732981
Frances McDormand,0000531
Woody Harrelson,0000437
Sam Rockwell,0005377
Pierre Boulle,0099541
Carl Foreman,0286025
Jack Hawkins,0370144
Danny Boyle,0000965
Irvine Welsh,0920543
John Hodge,0388076
Ewan McGregor,0000191
Ewen Bremner,0001971
Jonny Lee Miller,0001538
William H. Macy,0000513
Steve Buscemi,0000114
Gavin O'Connor,0640334
Anthony Tambakis,3294574
Cliff Dorfman,0233561
Nick Schenk,1010405
Dave Johannson,3164738
Jeff Nathanson,0622288
Frank Abagnale Jr.,0007646
Stan Redding,1127221
Christopher Walken,0000686
Hitoshi Takagi,0847054
Noriko Hidaka,0383022
Chika Sakamoto,0757076
Paul Haggis,0353673
F.X. Toole,0101801
Hilary Swank,0005476
Sergio Pablos,0655053
Carlos Martínez López,3582089
Jim Mahoney,2700235
Zach Lewis,2082813
David Yates,0946734
Steve Kloves,0460141
J.K. Rowling,0746830
Daniel Radcliffe,0705356
Emma Watson,0914612
Rupert Grint,0342488
Majid Majidi,0006498
Mohammad Amir Naji,0619870
Amir Farrokh Hashemian,0268488
Bahare Seddiqi,0781245
Hampton Fancher,0266684
Philip K. Dick,0001140
Rutger Hauer,0000442
Sean Young,0000707
John Ridley,0725983
Solomon Northup,1185849
Chiwetel Ejiofor,0252230
Michael Kenneth Williams,0931324
Michael Fassbender,1055413
Richard Linklater,0000500
Kim Krizan,0471811
Ethan Hawke,0000160
Julie Delpy,0000365
Andrea Eckert,0248600
Mack Swain,0841501
Tom Murray,0615306
Wes Anderson,0027572
Stefan Zweig,0959003
Hugo Guinness,2450453
William Wyler,0943758
Lew Wallace,0908753
Karl Tunberg,0876562
Gore Vidal,0000683
Gillian Flynn,5058839
William Makepeace Thackeray,0856842
Ryan O'Neal,0641939
Marisa Berenson,0001943
Elia Kazan,0001415
Budd Schulberg,0775977
Malcolm Johnson,0425711
Robert Siodmak,0802563
Robert Schenkkan,0770938
Andrew Knight,0460795
Andrew Garfield,1940449
Sam Worthington,0941777
Luke Bracey,3478396
Jim Sheridan,0006487
Gerry Conlon,0174840
Terry George,0313623
Pete Postlethwaite,0000592
Alison Crosbie,0188949
Clyde Bruckman,0115669
Buster Keaton,0000036
Al Boasberg,0090213
Michael Cimino,0001047
Deric Washburn,0913346
Louis Garfinkle,0307311
Kwang-rim Kim,1323286
Sung-bo Shim,1646563
Song Kang-ho,0814280
Kim Sang-kyung,1235292
Roe-ha Kim,1323287
Ingmar Bergman,0000005
Victor Sjöström,0803705
Bibi Andersson,0000761
Ingrid Thulin,0862026
Henri-Georges Clouzot,0167241
Georges Arnaud,1064118
Jérôme Géronimi,0350823
Yves Montand,0598971
Charles Vanel,0889024
Peter van Eyck,0886870
Carol Reed,0715346
Graham Greene,0001294
Alexander Korda,0466099
Damián Szifron,1167933
Julian Loyola,2265326
Germán Servidio,1238855
Darío Grandinetti,0334882
María Marull,0555404
Mónica Villa,0897640
Jean C. Havez,0369841
Joseph A. Mitchell,0593477
Kathryn McGuire,0570230
Joe Keaton,0444172
George Miller,0004306
Brendan McCarthy,0565068
Nick Lathouris,0490147
Tom Hardy,0362766
Charlize Theron,0000234
Nicholas Hoult,0396558
Tom Schulman,0776114
Robert Sean Leonard,0000494
Sidney Buchman,0118227
Lewis R. Foster,0287931
Myles Connolly,0175333
Jean Arthur,0000795
Claude Rains,0001647
David Silverman,0798899
Jill Culton,0191717
Jeff Pidgeon,0682066
Dean DeBlois,0213450
Chris Sanders,0761498
William Davies,0204030
Peter Benchley,0001940
Carl Gottlieb,0331956
Adam Elliot,0254178
Philip Seymour Hoffman,0000450
Eric Bana,0051509
Lenny Abrahamson,1049433
Emma Donoghue,1480980
Jeff Bridges,0000313
John Goodman,0000422
Julianne Moore,0000194
James Mangold,0003506
Jez Butterworth,0125336
John-Henry Butterworth,3890871
Jason Keller,0445669
Jon Bernthal,1256532
Yasujirô Ozu,0654868
Kôgo Noda,0633792
Chishû Ryû,0753479
Chieko Higashiyama,0383261
Sô Yamamura,0945522
Brad Bird,0083348
Jan Pinkava,0684342
Jim Capobianco,0135296
John G. Avildsen,0000814
Sylvester Stallone,0000230
Talia Shire,0001735
Burt Young,0949350
Keir Pearson,0669311
Don Cheadle,0000332
Sophie Okonedo,0645683
Joaquin Phoenix,0001618
Carl Theodor Dreyer,0003433
Joseph Delteil,0217865
Maria Falconetti,0266029
Eugene Silvain,0798564
André Berley,0075551
Scott Frank,0291082
Michael Green,0338169
Charlie Sheen,0000221
Tom Berenger,0000297
Willem Dafoe,0000353
Josh Singer,1802857
Michael Keaton,0000474
Rachel McAdams,1046097
Gale Anne Hurd,0005036
Michael Biehn,0000299
T.J. Gnanavel,4377096
Rajendra Sapre,13222819
Suriya,1421814
Lijo Mol Jose,7934649
Manikandan K.,8904193
Peter Morgan,0604948
Daniel Brühl,0117709
Chris Hemsworth,1165110
Olivia Wilde,1312575
Paddy Chayefsky,0154665
Peter Finch,0002075
Rob Reiner,0001661
Raynold Gideon,0317279
Bruce A. Evans,0262595
Wil Wheaton,0000696
River Phoenix,0000203
Corey Feldman,0000397
Robert E. Sherwood,0792845
MacKinlay Kantor,0437969
Myrna Loy,0001485
Dana Andrews,0000763
Fredric March,0545298
Mathieu Kassovitz,0440913
Vincent Cassel,0001993
Hubert Koundé,0468003
Saïd Taghmaoui,0846548
Mervyn LeRoy,0503777
Noel Langley,0486538
Florence Ryerson,0753249
Edgar Allan Woolf,0941138
Sean Penn,0000576
Jon Krakauer,1040556
Emile Hirsch,0386472
Vince Vaughn,0000681
Catherine Keener,0001416
William Friedkin,0001243
William Peter Blatty,0087861
Gore Verbinski,0893659
Ted Elliott,0254645
Terry Rossio,0744429
Stuart Beattie,0064181
Craig T. Nelson,0005266
Samuel L. Jackson,0000168
Holly Hunter,0000456
Ernst Lubitsch,0523932
Melchior Lengyel,0501872
Edwin Justus Mayer,0562372
Carole Lombard,0001479
Jack Benny,0000912
Robert Stack,0821041
John Ford,0000406
Nunnally Johnson,0425913
John Steinbeck,0825705
Henry Fonda,0000020
Jane Darwell,0002034
John Carradine,0001017
Harold Ramis,0000601
Danny Rubin,0748035
Lasse Hallström,0002120
Stephen P. Lindsey,2124742
Kaneto Shindô,0793881
Richard Gere,0000152
Joan Allen,0000260
Cary-Hiroyuki Tagawa,0846480
Gillo Pontecorvo,0690597
Franco Solinas,0758357
Çagan Irmak,1463981
Çetin Tekindor,1002038
Fikret Kuskan,0476334
Hümeyra,0406157
Sarah Waters,1258797
Chung Seo-kyung,1941029
Kim Min-hee,1195119
Ha Jung-woo,1978402
Cho Jin-woong,2437361
Alejandro G. Iñárritu,0327944
Guillermo Arriaga,0037247
Emilio Echevarría,0248408
Gael García Bernal,0305558
Goya Toledo,0865949
Daphne Du Maurier,0238898
Joan Harrison,0365661
Stuart Rosenberg,0742341
Donn Pearce,0668914
Frank Pierson,0682757
Hal Dresner,0237543
Robert Wise,0936404
Georg Hurdalek,0403346
Howard Lindsay,0512231
Russel Crouse,0189496
Satyajit Ray,0006249
Bibhutibhushan Bandyopadhyay,0051808
Kanu Bannerjee,0052333
Karuna Bannerjee,0052334
Subir Banerjee,0052343
Robert Riskin,0728307
Samuel Hopkins Adams,0011343
Clark Gable,0000022
Claudette Colbert,0001055
Walter Connolly,0175369
Tim McCanlies,0564827
Ted Hughes,0400954
Tate Taylor,0853238
Kathryn Stockett,3543826
Emma Stone,1297015
Octavia Spencer,0818055
François Truffaut,0000076
Marcel Moussy,0610115
Liv Ullmann,0880521
Margaretha Krook,0472234
Ron Clements,0166256
John Musker,0615780
Nishikant Kamat,1723225
Jeethu Joseph,2572228
Upendra Sidhaye,3179723
Ajay Devgn,0222426
Shriya Saran,1328152
Tabu,0007102
